gene_id	Heart_WT_1	Heart_WT_2	Heart_WT_3	Heart_WT_4	Heart_KO_1	Heart_KO_2	Heart_KO_3	Heart_KO_4
"1415768_a_at"	8186.122	7500.342	8514.51	7261.456	8850.656	9624.268	9343.608	9403.526
"1415769_at"	1030.215	1321.668	1182.307	1301.708	983.5566	970.0755	844.5267	1208.995
"1415770_at"	630.8932	785.8051	608.1656	687.044	497.4311	799.2197	618.693	616.4885
"1415771_at"	6597.741	5626.005	6094.171	5590.335	6740.147	6340.746	6735.594	5799.527
"1415772_at"	612.5105	821.7671	1115.912	990.7075	1064.291	1251.823	1194.078	1053.397
"1415773_at"	1180.187	1294.776	1336.542	1184.692	1517.936	1189.853	1204.386	1194.066
"1415774_at"	139.8227	257.5238	211.3818	218.1637	202.093	161.1457	115.2559	195.0108
"1415775_at"	12653.32	14202.22	11446.96	13320.36	15180.37	11756.57	15324.83	12901.4
"1415776_at"	387.3209	485.7228	589.1147	495.6562	395.1842	284.7302	271.9156	562.135
"1415777_at"	32.67363	2.597919	2.070697	13.08857	9.782821	1.999608	20.49522	5.997503
"1415778_at"	5797.066	5648.21	5185.159	5126.939	5109.185	4903.966	4042.605	5104.253
"1415779_s_at"	14518.54	17649.22	16279.81	16900.03	22224.58	14457.62	11125.31	15632.34
"1415780_a_at"	478.2066	691.9302	630.2037	696.6927	616.8348	448.51	570.709	529.5317
"1415781_a_at"	39016.61	42325.68	35257.79	32610.47	49299.82	36534.82	40107.57	40309.63
"1415782_at"	15597.97	16893.99	14577.39	14640.95	17230.35	15880.05	16368.48	15846.81
"1415783_at"	6289.367	6331.368	6242.924	5398.237	6971.881	6405.197	6795.01	6353.262
"1415784_at"	273.8391	195.3549	347.5608	233.4885	121.598	228.3729	241.5615	200.0439
"1415785_a_at"	2423.08	2694.733	2709.662	2727.349	2781.297	2553.562	2865.881	2675.654
"1415786_at"	44.96079	14.88374	7.316988	67.3399	112.0426	27.54134	67.00435	14.6221
"1415787_at"	361.1636	380.2082	459.1714	363.4869	433.4637	338.0772	385.2378	281.1062
"1415788_at"	1584.661	1742.56	1557.876	1464.63	1645.969	1912.14	1852.446	1941.543
"1415789_a_at"	490.5198	409.499	541.4923	304.5087	552.5827	373.0797	557.0749	489.9388
"1415790_at"	444.3869	413.4297	421.9693	385.7854	353.9815	415.0962	389.1913	316.4577
"1415791_at"	1879.554	1555.135	1774.706	1870.927	2031.935	1931.992	2005.739	1810.776
"1415792_at"	943.6573	622.3399	493.2602	628.7999	721.3345	710.7308	530.0738	891.3748
"1415793_at"	674.7265	510.9796	597.6327	471.3249	703.6091	626.0839	682.7877	566.4446
"1415794_a_at"	1326.251	1743.312	1537.463	1530.29	1145.531	1239.431	1161.334	1376.353
"1415795_at"	261.0262	205.0167	233.8554	198.5504	223.5964	135.8542	228.0106	177.9995
"1415796_at"	9558.816	9045.29	9047.967	9202.557	9290.157	8751.786	8773.571	9000.033
"1415797_at"	489.9895	490.4395	531.0732	513.3434	534.4575	598.5862	638.6497	569.1694
"1415798_at"	66.04633	118.4872	9.647416	18.39908	159.4051	14.97189	48.22139	116.1766
"1415799_at"	1593.502	1629.054	1701.618	1792.375	1910.88	1911.887	1892.573	1933.386
"1415800_at"	16242.97	21932.98	15537.52	20395.21	19312.57	14757.78	18059.8	19737.78
"1415801_at"	595.1409	677.2971	630.7352	711.4775	783.2004	747.6034	787.6987	562.8502
"1415802_at"	18837.21	17749.77	17438.35	18362.87	23652.33	19383.53	20063.08	18858.33
"1415803_at"	175.3799	154.9951	130.6093	143.9006	189.9063	142.6653	91.79468	177.2846
"1415804_at"	18.82083	19.17747	46.58932	38.97391	28.84271	13.03747	14.26059	111.0199
"1415805_at"	34.60549	2.33568	42.51149	60.12187	53.18258	46.28796	107.6569	51.85441
"1415806_at"	785.3746	966.9337	851.3761	1001.592	782.9791	825.0618	636.3564	956.8382
"1415807_s_at"	612.005	495.7606	508.7039	498.097	568.4207	682.1426	531.5414	508.2402
"1415808_at"	2.057832	11.52631	46.59709	9.900784	5.175703	9.0673	43.466	2.35302
"1415809_at"	52.47577	28.18682	68.35943	18.83581	51.12641	5.398088	7.333736	47.33326
"1415810_at"	65.51126	85.44215	72.83763	126.8764	99.58172	63.56517	132.9831	97.41336
"1415811_at"	85.58715	67.65856	53.95514	6.760092	96.99189	7.893724	41.08869	48.60201
"1415812_at"	25927.91	43501.12	33745.73	27034.13	32093.57	27005.17	30473.22	32719.97
"1415813_at"	1577.154	1769.151	1659.551	1684.99	1725.318	1761.141	1801.111	1518.503
"1415814_at"	1286.343	1146.63	1537.587	1608.553	1299.119	1622.148	1358.704	1547.43
"1415815_at"	15.62894	36.06034	47.66721	28.38667	9.346456	19.70698	8.536836	62.59723
"1415816_at"	5435.944	4859.125	5320.872	4627.293	5517.41	5227.699	5469.096	5195.704
"1415817_s_at"	2630.865	2403.096	2242.489	2472.844	3012.088	2198.449	3056.008	2628.584
"1415818_at"	1432.193	1260.809	1655.396	1705.918	1296.615	1962.353	1515.214	1475.448
"1415819_a_at"	2231.486	2099.094	2450.574	2363.072	2516.76	2480.534	2605.447	1931.23
"1415820_x_at"	1558.442	1692.752	1755.175	1926.512	1368.711	1587.851	1377.191	1807.368
"1415821_at"	4022.886	4848.473	3915.881	3932.806	2965.692	4055.539	4353.706	4747.292
"1415822_at"	1291.794	2212.457	1628.002	1392.257	1790.476	2180.54	1419.41	2237.168
"1415823_at"	98.21073	101.0179	99.0233	100.3273	173.1518	166.1471	80.41706	150.9709
"1415824_at"	40.40365	29.69917	45.17181	50.18755	32.74638	104.0003	76.21223	41.39732
"1415825_s_at"	1100.798	808.9241	814.625	971.1399	799.5425	782.9855	993.2698	962.7039
"1415826_at"	1094.059	1254.931	1167.55	1123.865	1202.514	1062.156	1160.961	971.1705
"1415827_a_at"	1953.967	2264.398	1978.824	2005.416	1712.629	1660.544	1361.015	2091.051
"1415828_a_at"	549.1615	518.7563	533.6155	500.866	551.5244	510.5201	421.6285	576.752
"1415829_at"	2004.414	2076.546	1973.026	2268.845	2102.912	2095.305	1793.919	2059.656
"1415830_at"	481.8065	621.3503	640.3828	575.7996	404.0395	563.5853	464.4269	559.5162
"1415831_at"	6294.121	4391.526	5318.829	4894.93	6745.531	5552.071	6058.921	6368.125
"1415832_at"	2.194454	17.90922	1.468422	20.32339	1.932909	1.193329	2.104202	15.68589
"1415833_x_at"	48536.01	50285.38	44565.32	37633.13	52872.21	45600.34	52404.14	43121.97
"1415834_at"	1203.863	1511.469	1390.766	1734.268	1604.37	1257.722	1055.753	1336.037
"1415835_at"	4.836957	5.720954	24.84778	54.63757	1.835108	22.23945	19.94161	11.10146
"1415836_at"	157.702	151.5718	201.1203	157.9777	123.3749	168.4984	98.95314	130.1508
"1415837_at"	20.37777	2.08869	3.800453	4.371311	9.132693	4.293607	27.26038	13.63733
"1415838_at"	4942.557	5224.828	4907.542	4313.446	6003.671	5529.802	5639.708	5023.186
"1415839_a_at"	7438.987	6876.494	6210.054	6733.906	5204.721	6078.092	5821.963	6655.683
"1415840_at"	2154.976	2782.852	2435.006	2451.712	1627.68	1880.127	1801.101	2238.758
"1415841_at"	2567.472	2774.517	2737.432	2671.083	2506.346	2496.822	2140.401	2865.247
"1415842_at"	190.1108	204.5919	171.1676	189.2856	180.3999	192.0464	251.638	140.206
"1415843_at"	110.962	11.09214	17.07253	63.33104	29.64162	41.1034	24.6684	20.40759
"1415844_at"	1.539907	9.375813	8.608051	1.701634	14.4391	4.810343	45.0059	9.638149
"1415845_at"	45.21478	87.87021	25.50686	54.75321	55.9118	7.655446	56.5568	75.59351
"1415846_a_at"	3.570884	5.662655	39.43658	8.493124	4.417682	5.9713	8.258862	9.043086
"1415847_at"	37.16734	52.39239	29.74948	17.78667	6.339689	2.295424	31.86379	9.800824
"1415848_at"	59.57678	115.3361	97.90015	124.1999	48.67431	142.126	103.8176	99.33497
"1415849_s_at"	3141.035	2340.558	2345.819	2979.525	1939.204	1870.313	1853.899	3101.133
"1415850_at"	654.0956	637.1342	734.0032	505.5466	489.3391	578.7316	636.5303	581.5594
"1415851_a_at"	2934.618	2772.896	2900.014	3055.968	2982.364	2834.718	3021.555	2838.598
"1415852_at"	1873.217	1670.458	1789.346	1576.02	1575.467	1734.57	1849.319	1713.14
"1415853_at"	687.8625	419.4912	674.5565	582.2408	642.0073	817.133	940.4717	499.5338
"1415854_at"	344.0875	206.951	232.2376	182.9181	238.9253	175.0416	126.4474	124.9309
"1415855_at"	4781.655	4641.066	4757.154	5734.404	4192.237	4313.434	4031.965	5400.136
"1415856_at"	159.3554	160.0489	118.8236	118.9125	144.6664	79.37021	141.2172	122.2424
"1415857_at"	49.18892	113.4106	19.66392	15.05334	21.40976	13.48025	51.04004	60.20636
"1415858_at"	3958.612	3270.695	4486.896	3724.98	3722.707	4286.117	3624.79	3976.255
"1415859_at"	2026.767	2017.398	2470.94	1589.871	1443.833	1596.89	2116.677	1873.345
"1415860_at"	5973.991	5301.093	3747.467	5083.813	9808.607	7739.569	5562.718	2818.79
"1415861_at"	42.59157	9.677231	8.511709	8.360731	4.222156	24.52886	5.627732	7.935465
