gene_id	Heart_WT_1	Heart_WT_2	Heart_WT_3	Heart_WT_4	Heart_KO_1	Heart_KO_2	Heart_KO_3	Heart_KO_4
"1415976_a_at"	203.8239	291.2928	257.0149	226.7661	146.1223	261.0253	218.7196	180.9963
"1415977_at"	184.0721	209.3566	358.9188	194.6204	319.3914	259.3128	277.4457	338.4741
"1415978_at"	6.293707	10.37444	30.60474	10.67835	70.88316	22.2711	2.586081	7.327013
"1415979_x_at"	22103.61	24296.56	20616.7	20906.4	23997.79	18854.55	22789.1	20863.57
"1415980_at"	18065.52	14935.36	14449.84	14200.33	17485.52	15596.21	17501.84	14283.94
"1415981_at"	2812.657	3331.561	2665.375	2876.523	2512.483	2857.044	2627.222	2906.019
"1415982_at"	456.5911	450.5965	442.2606	554.5383	427.6307	481.5709	454.6255	495.6512
"1415983_at"	497.126	665.1139	625.4321	563.7601	661.6536	451.7993	718.2676	457.9021
"1415984_at"	40880.77	41973.22	39094.1	37028.68	54509.92	47014.8	52870	42050.32
"1415985_at"	1541.327	1220.58	1412.703	1801.289	1158.859	1010.876	875.9391	1221.262
"1415986_at"	2885.89	2801.844	3348.322	2739.842	3674.6	3445.544	3205.634	2913.347
"1415987_at"	7656.031	6189.666	7098.101	6006.83	9150.07	8030.231	8584.795	6969.586
"1415988_at"	845.4779	907.4597	1024.201	795.8193	780.808	960.8812	1183.734	665.7883
"1415989_at"	202.0568	260.1174	240.7491	209.2417	410.2227	248.0569	236.9112	317.4498
"1415990_at"	22136.69	22105.92	21472.96	20769.63	25699.49	24588.84	24537.58	17690.43
"1415991_a_at"	6057.664	3898.177	4623.807	4292.695	4843.771	5440.912	5215.694	4502.4
"1415992_at"	425.5365	358.0749	425.0983	416.3072	464.131	520.1483	415.6623	474.2694
"1415993_at"	105.3304	102.789	150.2384	111.3831	172.6614	79.59094	88.49892	164.0115
"1415994_at"	784.2605	1701.316	614.9614	437.324	180.8907	454.7636	333.0839	424.5489
"1415995_at"	494.2383	580.2606	598.6615	550.4572	420.3811	549.8546	426.6698	548.4373
"1415996_at"	5664.956	12980.61	9749.83	11666.14	10307.84	12970.57	6934.999	7996.42
"1415997_at"	765.9641	1162.314	1251.843	1439.64	1436.7	1754.417	934.3269	974.1265
"1415998_at"	27863.27	28020.36	24586.48	23531.99	30254.14	28421.65	31844.31	26078.66
"1415999_at"	443.4395	502.8712	292.5392	489.9506	189.0032	279.9338	203.2192	414.4514
"1416000_a_at"	18176.72	19617.04	17175.29	16755.36	23140.49	20414.01	22657.27	20297.41
"1416001_a_at"	306.4139	263.1571	245.8039	357.1133	189.7641	271.2666	237.0476	370.2976
"1416002_x_at"	275.5678	249.4405	236.4231	225.5061	217.0463	178.1086	191.9401	187.7697
"1416003_at"	5.470244	21.4179	42.8465	42.28176	40.48573	46.58359	3.316784	55.05779
"1416004_at"	4039.146	3428.275	3588.611	3618.894	3357.33	3409.199	3480.389	4039.333
"1416005_at"	3110.178	3029.236	3123.493	2766.296	3239.967	3131.559	3045.133	3113.045
"1416006_at"	158.4115	302.856	152.0777	255.6155	145.6795	100.7526	122.338	64.3937
"1416007_at"	1227.353	1032.244	1332.556	1169.536	1389.574	1228.578	1028.896	1132.098
"1416008_at"	1164.565	1232.057	1320.067	1180.086	1356.491	1183.404	1190.692	1122.349
"1416009_at"	5853.642	5637.751	6541.385	5099.325	7331.771	7614.654	6826.95	6875.317
"1416010_a_at"	1608.471	1512.947	1519.86	1763.692	1898.757	1761.719	1702.779	1800.022
"1416011_x_at"	1304.053	1466.667	1332.642	1643.87	1652.105	1733.416	1674.425	1938.765
"1416012_at"	266.4265	149.2044	256.6456	182.4246	236.8429	172.2265	186.1509	146.6422
"1416013_at"	764.2536	518.1486	697.6194	703.7776	616.3294	490.1539	630.9862	602.9606
"1416014_at"	1161.591	1347.319	1070.168	1229.182	1414.366	995.5386	1249.258	1176.844
"1416015_s_at"	2131.645	1983.16	2129.896	1965.245	2057.156	2195.653	1888.047	2283.532
"1416016_at"	351.7074	344.4943	258.6108	240.267	278.085	478.1502	311.1387	295.6588
"1416017_at"	604.1586	555.1849	746.0182	545.8588	433.9805	616.3903	647.2108	584.8878
"1416018_at"	1302.668	1359.126	1198.228	1575.61	1332.557	1158.424	1246.432	1450.825
